CITY;YEAR;VALUE;EPS;VAR_INTERES;TYPE_USER
;2009; 17,427386;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2010; 16,666667;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2011; 10,810811;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2012; 17,741935;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2013; 12,500000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2014; 17,506631;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2015; 20,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2018; 17,602996;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2019; 18,461127;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
;2020; 11,911765;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
05001 - Medellín;2009; 25,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
05001 - Medellín;2015; 50,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
05001 - Medellín;2019; 22,222222;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
05129 - Caldas;2019;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
08001 - Barranquilla;2015; 33,333333;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
08573 - Puerto Colombia;2019; 50,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
08758 - Soledad;2019;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
-1 - No Definido;2018; 17,612524;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
-1 - No Definido;2019; 17,930029;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
-1 - No Definido;2020; 11,699605;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2009; 14,782609;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2010; 14,736842;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2011; 10,344828;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2012; 13,186813;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2013;  5,660377;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2014; 20,270270;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2015; 16,030534;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
11001 - Bogotá, D.C.;2019; 30,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2009; 25,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2010; 50,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2011; 12,500000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2012; 22,222222;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2013; 14,285714;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2014; 12,500000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2015; 30,769231;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13001 - Cartagena;2019;  3,750000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13160 - Cantagallo;2019; 50,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13188 - Cicuco;2019; 12,500000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13430 - Magangué;2019; 20,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
13430 - Magangué;2020; 33,333333;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
15238 - Duitama;2013;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
15572 - Puerto Boyacá;2019; 14,285714;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
17001 - Manizales;2019; 13,636364;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
20001 - Valledupar;2009;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
20238 - El Copey;2019;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25001 - Agua De Dios;2012;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25175 - Chía;2019; 25,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25473 - Mosquera;2019; 33,333333;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25572 - Puerto Salgar;2014; 33,333333;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25572 - Puerto Salgar;2019; 33,333333;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25662 - San Juan De Río Seco;2019;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25754 - Soacha;2018;100,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
25799 - Tenjo;2019; 50,000000;RES002;Signos y sintomas mal definidos;4 - PARTICULAR
