CITY;YEAR;VALUE;EPS;VAR_INTERES;TYPE_USER
;2009; 55,60166;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2010; 77,77778;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2011; 77,02703;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2012; 65,32258;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2013; 71,15385;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2014; 83,55438;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2015; 85,40541;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2018; 88,76404;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2019; 88,77905;RES002;Enfermedades no transmisibles;4 - PARTICULAR
;2020; 84,63235;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05001 - Medellín;2009; 91,66667;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05001 - Medellín;2011; 66,66667;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05001 - Medellín;2012;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05001 - Medellín;2014; 66,66667;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05001 - Medellín;2015; 50,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05001 - Medellín;2019; 44,44444;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05129 - Caldas;2019;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05129 - Caldas;2020;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05212 - Copacabana;2014;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05266 - Envigado;2009;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05266 - Envigado;2019;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05360 - Itagui;2019; 50,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05360 - Itagui;2020;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
05376 - La Ceja;2020;100,00000;RES002;Enfermedades no transmisibles;4 - PARTICULAR
