CITY;YEAR;VALUE;EPS;VAR_INTERES;TYPE_USER
;2009; 12,448133;RES002;Lesiones;4 - PARTICULAR
;2010;  7,936508;RES002;Lesiones;4 - PARTICULAR
;2011; 11,261261;RES002;Lesiones;4 - PARTICULAR
;2012;  8,870968;RES002;Lesiones;4 - PARTICULAR
;2013;  8,653846;RES002;Lesiones;4 - PARTICULAR
;2014; 10,875332;RES002;Lesiones;4 - PARTICULAR
;2015;  6,486486;RES002;Lesiones;4 - PARTICULAR
;2018;  6,554307;RES002;Lesiones;4 - PARTICULAR
;2019;  6,973016;RES002;Lesiones;4 - PARTICULAR
;2020;  5,000000;RES002;Lesiones;4 - PARTICULAR
05001 - Medellín;2009; 16,666667;RES002;Lesiones;4 - PARTICULAR
05001 - Medellín;2011; 33,333333;RES002;Lesiones;4 - PARTICULAR
05001 - Medellín;2014; 33,333333;RES002;Lesiones;4 - PARTICULAR
05001 - Medellín;2019; 33,333333;RES002;Lesiones;4 - PARTICULAR
-1 - No Definido;2018;  6,849315;RES002;Lesiones;4 - PARTICULAR
-1 - No Definido;2019;  6,909621;RES002;Lesiones;4 - PARTICULAR
-1 - No Definido;2020;  5,217391;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2009; 12,173913;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2010;  7,368421;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2011; 11,724138;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2012;  8,791209;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2013;  9,433962;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2014; 10,810811;RES002;Lesiones;4 - PARTICULAR
11001 - Bogotá, D.C.;2015;  6,870229;RES002;Lesiones;4 - PARTICULAR
13001 - Cartagena;2010; 16,666667;RES002;Lesiones;4 - PARTICULAR
13001 - Cartagena;2012; 11,111111;RES002;Lesiones;4 - PARTICULAR
13001 - Cartagena;2014;  6,250000;RES002;Lesiones;4 - PARTICULAR
13001 - Cartagena;2015;  7,692308;RES002;Lesiones;4 - PARTICULAR
13001 - Cartagena;2019;  1,250000;RES002;Lesiones;4 - PARTICULAR
13188 - Cicuco;2019; 12,500000;RES002;Lesiones;4 - PARTICULAR
23586 - Purísima;2019;100,000000;RES002;Lesiones;4 - PARTICULAR
25001 - Agua De Dios;2014;100,000000;RES002;Lesiones;4 - PARTICULAR
